Quote,Option 1,Option 2,Option 3,Option 4,Correct Answer,,Unique
"""Without warning without mercy.""",Bloodfist VIII: Trained to Kill,Batman and Robin (serial),Best of the Best 4: Without Warning,Blood of the Samurai,Best of the Best 4,Action,Unique
"""The sequel that hits harder.""",Behind Enemy Lines (1997 film),Batman (serial),Behind Enemy Lines II: Axis of Evil,Best of the Best II,Best of the Best II,Action,Unique
"""When you're slapped you'll know it.""",Bitch Slap,Bloodfist III: Forced to Fight,Black Belt Angels,Blunt Force Trauma (film),Bitch Slap,Action,Unique
"""Angels can fight too.""",Batman (1989 film),Bloodsport III,Black Belt Angels,Blood Street,Black Belt Angels,Action,Unique
"""He’s got a black belt in cool.""",Black Belt Jones,Batman Forever,Bloodfist IV: Die Trying,Born to Be Wild (1938 film),Black Belt Jones,Action,Unique
"""In the darkness he rises.""",Bloodfist VII: Manhunt,Bloodfist V: Human Target,Black Dawn (2005 film),Best of the Best 3: No Turning Back,Black Dawn (2005 film),Action,Unique
"""The godfather of them all.""",Black Belt Angels,Bloodsport II,The Black Godfather,Bloodfist VII: Manhunt,The Black Godfather,Action,Unique
"""In the shadows he strikes.""",Batman (serial),Behind Enemy Lines II: Axis of Evil,Bloodfist IV: Die Trying,The Black Ninja,The Black Ninja,Action,Unique
"""Conspiracies are black and deep.""",Born to Be Wild (1938 film),Black Oak Conspiracy,Batman: Dying Is Easy,Best of the Best 4: Without Warning,Black Oak Conspiracy,Action,Unique
"""Thunder strikes twice.""",Black Thunder (film),Batman Forever,Bloodsport III,Bloodfist,Black Thunder (film),Action,Unique
"""Samurai blood runs deep.""",Bloodfist V: Human Target,Black Thunder (film),Blood of the Samurai,Black Dawn (2005 film),Blood of the Samurai,Action,Unique
"""The streets run red.""",Bloodsport 4: The Dark Kumite,Blood Street,Best of the Best (1989 film),Batman (serial),Blood Street,Action,Unique
"""The fist that rules them all.""",Best of the Best II,Born to Be Wild (1938 film),Bloodfist VII: Manhunt,Bloodfist,Bloodfist,Action,Unique
"""The fist fights back.""",Bloodfist II,Batman (1989 film),Born to Be Wild (1938 film),Batman and Robin (serial),Bloodfist II,Action,Unique
"""Forced to fight destined to win.""",Batman & Robin (film),Best of the Best (1989 film),Bloodfist III: Forced to Fight,Behind Enemy Lines II: Axis of Evil,Bloodfist III,Action,Unique
"""Die trying or live fighting.""",Bloodsport III,Bloodsport 4: The Dark Kumite,Bloodfist IV: Die Trying,Bloodfist VIII: Trained to Kill,Bloodfist IV,Action,Unique
"""The human target never misses.""",Bloodfist III: Forced to Fight,Best of the Best II,Bloodfist V: Human Target,Behind Enemy Lines (1997 film),Bloodfist V,Action,Unique
"""Ground zero where it all begins.""",Bloodfist VII: Manhunt,Bloodfist VI: Ground Zero,Batman Forever,Born to Be Wild (1938 film),Bloodfist VI,Action,Unique
"""The manhunt never ends.""",Bloodsport 4: The Dark Kumite,Bloodsport II,Bloodfist VII: Manhunt,Best of the Best II,Bloodfist VII,Action,Unique
"""Trained to kill born to survive.""",Born to Be Wild (1938 film),Bloodfist VIII: Trained to Kill,Batman (1989 film),Best of the Best 4: Without Warning,Bloodfist VIII,Action,Unique
"""The dark kumite awaits.""",Black Belt Angels,Born to Race (2011 film),Bloodsport 4: The Dark Kumite,Bloodfist IV: Die Trying,Bloodsport 4,Action,Unique
"""The next kumite the next challenge.""",Black Dawn (2005 film),Bloodfist III: Forced to Fight,Bloodsport II: The Next Kumite,Bloodfist VIII: Trained to Kill,Bloodsport II,Action,Unique
"""The third challenge is always the hardest.""",Bloodsport III,Belly of the Beast,Black Belt Angels,Best of the Best (1989 film),Bloodsport III,Action,Unique
"""Trauma comes in all forms.""",Blunt Force Trauma (film),Batman: Dead End,Blood of the Samurai,Bloodfist VI: Ground Zero,Blunt Force Trauma,Action,Unique
"""Born wild live free.""",Batman Forever,Bloodsport 4: The Dark Kumite,Black Oak Conspiracy,Born to Be Wild (1938 film),Born to Be Wild,Action,Unique
"""Race against time race for glory.""",Born to Be Wild (1938 film),Black Dawn (2005 film),Best of the Best 3: No Turning Back,Born to Race (2011 film),Born to Race,Action,Unique
"""Speed is in my blood.""",Born to Speed,Broken Path,Bulletproof (1988 film),Boyka: Undisputed,Born to Speed,Action,Unique
"""Undisputed undefeated unstoppable.""",Born to Speed,Broken Path,Boyka: Undisputed,Busy Day,Boyka: Undisputed,Action,Unique
"""Every path has its breaking point.""",Busy Day,Broken Path,Bulletproof (1988 film),Boyka: Undisputed,Broken Path,Action,Unique
"""When bullets fly you better be bulletproof.""",Bulletproof (1988 film),Boyka: Undisputed,Broken Path,Born to Speed,Bulletproof (1988 film),Action,Unique
"""Not every day is a busy day but today is.""",Bulletproof (1988 film),Busy Day,Boyka: Undisputed,Broken Path,Busy Day,Action,Unique
"""Racing against time and fate.""",Bulletproof (1988 film),Busy Day,Boyka: Undisputed,Born to Speed,Born to Speed,Action,Unique
"""The undisputed champion fights alone.""",Busy Day,Bulletproof (1988 film),Boyka: Undisputed,Broken Path,Boyka: Undisputed,Action,Unique
"""Paths are meant to be broken.""",Born to Speed,Broken Path,Busy Day,Boyka: Undisputed,Broken Path,Action,Unique
"""Armor up the fight is on.""",Born to Speed,Busy Day,Bulletproof (1988 film),Boyka: Undisputed,Bulletproof (1988 film),Action,Unique
"""From dawn till dusk a busy day awaits.""",Broken Path,Born to Speed,Busy Day,Bulletproof (1988 film),Busy Day,Action,Unique
"""Paradise can feel like a prison.""",Cradle 2 the Grave,Caged in Paradiso,China Slaver,Cherry Bomb (film),Caged in Paradiso,Action,Unique
"""The call of the wild is irresistible.""",Counterfeiters (2017 film),Call of the South Seas,China O'Brien,Cradle 2 the Grave,Call of the South Seas,Action,Unique
"""Marines never abandon their own.""",Crossed Signals,Calling All Marines,China Slaver,The Contractor (2007 film),Calling All Marines,Action,Unique
"""Life is a race and I’m the lead car.""",China O'Brien II,Cannonball Express (film),City of Scars,Contract Killers,Cannonball Express (film),Action,Unique
"""Behind the mask lies a fierce warrior.""",Catwoman (film),Control (upcoming film),Commando (1985 film),Chrome and Hot Leather,Catwoman (film),Action,Unique
"""Command isn’t given; it’s earned.""",Call of the South Seas,Cherry Bomb (film),Chain of Command (1994 film),City of Scars,Chain of Command (1994 film),Action,Unique
"""The best champions are those who fight till the end.""",CIA Code Name: Alexa,Cradle 2 the Grave,Con Express,Champions (1997 film),Champions (1997 film),Action,Unique
"""Explosions can be beautiful and deadly.""",Critical Mass (film),The Collective (2023 film),Cherry Bomb (film),Counterfeiters (2017 film),Cherry Bomb (film),Action,Unique
"""In every mission precision is key.""",Crashing Thru (1939 film),Contract Killers,Command Performance (2009 film),China O'Brien,China O'Brien,Action,Unique
"""Survival isn’t guaranteed in the fight.""",China O'Brien II,Cradle 2 the Grave,The Collective (2023 film),Crossed Signals,China O'Brien II,Action,Unique
"""In the shadows a warrior waits.""",Chrome and Hot Leather,China Slaver,Counterfeiters (2017 film),CIA II: Target Alexa,China Slaver,Action,Unique
"""A dangerous game with high stakes.""",Call of the South Seas,The Contractor (2007 film),Cherry Bomb (film),Chrome and Hot Leather,Chrome and Hot Leather,Action,Unique
"""Espionage isn’t for the faint of heart.""",Contract Killers,Critical Mass (film),CIA Code Name: Alexa,The Collective (2023 film),CIA Code Name: Alexa,Action,Unique
"""The second chance is a rare gift.""",Cradle 2 the Grave,City of Scars,CIA II: Target Alexa,Countdown (2016 film),CIA II: Target Alexa,Action,Unique
"""A circus of chaos awaits the brave.""",Circus Girl (film),Contract Killers,China O'Brien II,Call of the South Seas,Circus Girl (film),Action,Unique
"""Scars are the marks of survival.""",Critical Mass (film),The Collective (2023 film),City of Scars,Chrome and Hot Leather,City of Scars,Action,Unique
"""A high-stakes game demands precise moves.""",Counterfeiters (2017 film),Clay Pigeon (film),Commando (1985 film),Control (upcoming film),Clay Pigeon (film),Action,Unique
"""In the underworld every move matters.""",Champions (1997 film),The Contractor (2007 film),Crossed Signals,Cocaine Wars,Cocaine Wars,Action,Unique
"""When the countdown begins nothing is certain.""",Countdown (2016 film),Cherry Bomb (film),The Collective (2023 film),Contract Killers,Countdown (2016 film),Action,Unique
"""Counterfeiting is a dangerous game.""",Chain of Command (1994 film),Counterfeiters (2017 film),Cradle 2 the Grave,China Slaver,Counterfeiters (2017 film),Action,Unique
"""In the cradle of battle only the strong survive.""",Call of the South Seas,The Contractor (2007 film),City of Scars,Cradle 2 the Grave,Cradle 2 the Grave,Action,Unique
"""A collision of fates and fortunes.""",Crashing Thru (1939 film),Control (upcoming film),Contract Killers,City of Scars,Crashing Thru (1939 film),Action,Unique
"""To control is to conquer.""",Command Performance (2009 film),The Contractor (2007 film),Chrome and Hot Leather,Critical Mass (film),Critical Mass (film),Action,Unique
"""When signals cross communication fails.""",Cradle 2 the Grave,The Collective (2023 film),Con Express,Crossed Signals,Crossed Signals,Action,Unique
"""Command is a relentless pursuit.""",Chain of Command (1994 film),Contract to Kill,The Contractor (2007 film),China O'Brien II,Chain of Command (1994 film),Action,Unique
"""The fight is as much about strategy as it is about strength.""",Call of the South Seas,Cherry Bomb (film),The Contractor (2007 film),Commando (1985 film),Commando (1985 film),Action,Unique
"""Each contract is a new battle.""",Contract Killers,Champions (1997 film),Counterfeiters (2017 film),China O'Brien,Contract Killers,Action,Unique
"""When killing is the contract survival is the prize.""",Call of the South Seas,City of Scars,Contract to Kill,Cradle 2 the Grave,Contract to Kill,Action,Unique
"""A soldier's duty is never done.""",Counterfeiters (2017 film),The Collective (2023 film),Crossed Signals,The Contractor (2007 film),The Contractor (2007 film),Action,Unique
"""Control is the key to victory.""",Call of the South Seas,Control (upcoming film),Crashing Thru (1939 film),China Slaver,Control (upcoming film),Action,Unique
"""A hero hides behind every mask.""",Corrado (film),The Collective (2023 film),Cherry Bomb (film),China O'Brien II,Corrado (film),Action,Unique
"""The countdown to action has begun.""",China O'Brien,Countdown (2016 film),City of Scars,Crossed Signals,Countdown (2016 film),Action,Unique
"""Counterfeiting is a deadly game of deception.""",Critical Mass (film),Counterfeiters (2017 film),Chrome and Hot Leather,Contract Killers,Counterfeiters (2017 film),Action,Unique
"""Survival in chaos requires courage.""",Cradle 2 the Grave,China Slaver,The Contractor (2007 film),Cherry Bomb (film),Cradle 2 the Grave,Action,Unique
"""Breaking through barriers demands bravery.""",The Collective (2023 film),Crossed Signals,Crashing Thru (1939 film),Call of the South Seas,Crashing Thru (1939 film),Action,Unique
"""Control is the foundation of power.""",Contract Killers,Critical Mass (film),City of Scars,Command Performance (2009 film),Critical Mass (film),Action,Unique
"""The signals of danger are clear.""",CIA II: Target Alexa,The Collective (2023 film),Crossed Signals,China O'Brien,Crossed Signals,Action,Unique
"""In command every action counts.""",Chain of Command (1994 film),Contract to Kill,City of Scars,Control (upcoming film),Chain of Command (1994 film),Action,Unique
"""The damage is already done.""",Deadly Heroes,Daredevil (film),Damage (2009 film),Dangerous Crossroads,Damage (2009 film),Action,Unique
"""A river that runs red with danger.""",Damned River,Detective Knight: Rogue,Death Toll,Delta Force 2: The Colombian Connection,Damned River,Action,Unique
"""A racket where every step is a risk.""",Direct Contact,Dance Hall Racket,The Delta Force,Deadly Outbreak,Dance Hall Racket,Action,Unique
"""At dangerous crossroads decisions define destinies.""",Death Force,Daredevil (film),The Defender (2004 film),Dangerous Crossroads,Dangerous Crossroads,Action,Unique
"""In a world of danger there is only one dude who can save us.""",Death Ring,Delta Force 3: The Killing Game,Double Impact,The Dangerous Dude,The Dangerous Dude,Action,Unique
"""Mountains may be Canadian but the dangers are universal.""",Death Before Dishonor (film),Death Force,Dangers of the Canadian Mounted,Detective Knight: Redemption,Dangers of the Canadian Mounted,Action,Unique
"""A hero’s greatest weapon is his daring.""",Direct Hit (film),Daredevil (film),Deadly Target,Down 'n Dirty,Daredevil (film),Action,Unique
"""When force meets fury deadly results follow.""",Driving Force (1989 film),Desert Thunder,The Detonator,Deadly Force (film),Deadly Force (film),Action,Unique
"""Heroes are forged in the fires of battle.""",The Defender (2004 film),Deadly Heroes,Dynamite Brothers,Death Goes North,Deadly Heroes,Action,Unique
"""In the face of an outbreak survival is the only option.""",Deadly Outbreak,Death Toll,Detective Knight: Rogue,Desperado (film),Deadly Outbreak,Action,Unique
"""A prey becomes the predator in deadly games.""",The Delta Force,Deadly Prey,Down 'n Dirty,Death Ring,Deadly Prey,Action,Unique
"""The target of death is always moving.""",Drive (1997 film),Deadly Target,Devil Tiger,Direct Hit (film),Deadly Target,Action,Unique
"""Honor is a weapon in the face of death.""",Desperado (film),Deep Gold,Death Before Dishonor (film),Derailed (2002 film),Death Before Dishonor (film),Action,Unique
"""In a fight for survival there are no second chances.""",Direct Contact,Detective Knight: Redemption,The Dangerous Dude,Death Force,Death Force,Action,Unique
"""A journey north can lead to perilous ends.""",Death Goes North,Dangerous Crossroads,Death Toll,Direct Hit (film),Death Goes North,Action,Unique
"""In the ring of death no one is safe.""",Dog Justice,The Down Grade,Deep Gold,Death Ring,Death Ring,Action,Unique
"""The toll of battle is not always visible.""",Delta Force 3: The Killing Game,Double Impact,Daredevil (film),Death Toll,Death Toll,Action,Unique
"""Gold can be deep but danger runs deeper.""",Dynamite Brothers,Desperado (film),Detroit 9000,Deep Gold,Deep Gold,Action,Unique
"""A defender’s courage is his greatest weapon.""",The Dangerous Dude,The Defender (2004 film),Dangerous Crossroads,Death Before Dishonor (film),The Defender (2004 film),Action,Unique
"""In the face of Colombia’s fiercest only the strong survive.""",Direct Hit (film),Down 'n Dirty,Death Ring,Delta Force 2: The Colombian Connection,Delta Force 2: The Colombian Connection,Action,Unique
"""The killing game is not for the faint of heart.""",The Detonator,Delta Force 3: The Killing Game,Direct Contact,Detective Knight: Redemption,Delta Force 3: The Killing Game,Action,Unique
"""A force to be reckoned with in every delta.""",The Delta Force,The Defender (2004 film),Death Force,Dynamite Brothers,The Delta Force,Action,Unique
"""High stakes meet high risks in the high desert.""",Desert Thunder,Derailed (2002 film),Demolition High,Double Impact,Desert Thunder,Action,Unique
"""In a derailment of plans survival is key.""",Dog Law,Derailed (2002 film),Direct Hit (film),Death Goes North,Derailed (2002 film),Action,Unique
"""When desperadoes rise so does the danger.""",Detective Knight: Rogue,Driving Force (1989 film),Desperado (film),Dangerous Crossroads,Desperado (film),Action,Unique
"""In a city of crime one detective stands alone.""",Detective Knight (film series),Delta Force 2: The Colombian Connection,Double Impact,The Detonator,Detective Knight (film series),Action,Unique
"""Redemption is a path paved with peril.""",The Dangerous Dude,Detective Knight: Redemption,Dog Justice,Down 'n Dirty,Detective Knight: Redemption,Action,Unique
"""Rogue actions can lead to rogue outcomes.""",Detective Knight: Rogue,Death Force,Dynamite Brothers,Death Toll,Detective Knight: Rogue,Action,Unique
"""Explosions can change the game in an instant.""",Deep Gold,Daredevil (film),Driving Force (1989 film),The Detonator,The Detonator,Action,Unique
"""A city’s crime never sleeps.""",Dog Law,Dance Hall Racket,Direct Contact,Detroit 9000,Detroit 9000,Action,Unique
"""A tiger’s devilish roar echoes danger.""",Down 'n Dirty,The Dangerous Dude,Devil Tiger,Dynamite Brothers,Devil Tiger,Action,Unique
"""In a world of chaos even the toughest have their limits.""",Dangerous Crossroads,Direct Hit (film),Driving Force (1989 film),Die Hard,Die Hard,Action,Unique
"""Contact is direct and so is the danger.""",Dynamite Brothers,Dog Justice,The Detonator,Direct Contact,Direct Contact,Action,Unique
"""A hit that’s direct is a hit to remember.""",Death Before Dishonor (film),Deep Gold,Direct Hit (film),Death Force,Direct Hit (film),Action,Unique
"""In the south dynamite isn’t just a tool; it’s a lifestyle.""",Dangerous Crossroads,Dixie Dynamite,The Down Grade,The Delta Force,Dixie Dynamite,Action,Unique
"""Flyers can take you to new dangers.""",Desert Thunder,The Delta Force,Down 'n Dirty,The Dixie Flyer,The Dixie Flyer,Action,Unique
"""Justice for dogs is served one case at a time.""",Dog Justice,The Detonator,Dynamite Brothers,Death Toll,Dog Justice,Action,Unique
"""Law is not always black and white.""",Delta Force 3: The Killing Game,Dog Law,The Dangerous Dude,Death Ring,Dog Law,Action,Unique
"""When two forces collide the impact is double.""",Double Impact,The Delta Force,Driving Force (1989 film),Dangerous Crossroads,Double Impact,Action,Unique
"""In the world of dirt only the brave survive.""",Down 'n Dirty,Dynamite Brothers,Death Before Dishonor (film),The Detonator,Down 'n Dirty,Action,Unique
"""Every downgrade has its own challenges.""",The Down Grade,Detroit 9000,Driving Force (1989 film),Death Force,The Down Grade,Action,Unique
"""Driving is an art and so is survival.""",Dog Justice,Double Impact,Drive (1997 film),The Delta Force,Drive (1997 film),Action,Unique
"""The force of driving is in the speed.""",Driving Force (1989 film),Death Toll,Deep Gold,Direct Hit (film),Driving Force (1989 film),Action,Unique
"""Dynamite makes for a blast of an adventure.""",Dance Hall Racket,Death Goes North,Dangerous Crossroads,Dynamite Brothers,Dynamite Brothers,Action,Unique
"""A daring heart faces deadly foes.""",Direct Hit (film),Death Toll,Daredevil (film),Deadly Heroes,Daredevil (film),Action,Unique
"""Every hero has a deadly target.""",Death Ring,Deadly Target,The Dangerous Dude,Driving Force (1989 film),Deadly Target,Action,Unique
"""A thunderous desert storm brings peril.""",Direct Contact,Desert Thunder,Down 'n Dirty,The Detonator,Desert Thunder,Action,Unique
"""Justice is served in the face of danger.""",The Delta Force,The Dixie Flyer,Death Force,Dog Justice,Dog Justice,Action,Unique
"""A direct hit can change everything.""",Driving Force (1989 film),Direct Hit (film),Dangerous Crossroads,Death Ring,Direct Hit (film),Action,Unique
"""When the forces of chaos converge only the strong survive.""",Dynamite Brothers,The Delta Force,The Defender (2004 film),Down 'n Dirty,Dynamite Brothers,Action,Unique
"""The flyer’s journey is fraught with danger.""",The Dixie Flyer,Death Before Dishonor (film),Detective Knight: Rogue,Desert Thunder,The Dixie Flyer,Action,Unique
"""An outbreak of death spells disaster.""",Demolition High,Deadly Outbreak,The Down Grade,The Detonator,Deadly Outbreak,Action,Unique
"""In the city of crime one man stands against the storm.""",Death Goes North,Detroit 9000,The Dangerous Dude,The Detonator,Detroit 9000,Action,Unique
"""A hero’s path is paved with challenges and danger.""",Daredevil (film),Double Impact,Driving Force (1989 film),Death Before Dishonor (film),Double Impact,Action,Unique
"""When time runs out the real game begins.""",The Expendables (1988 film),Escape Under Pressure,The Eleventh Hour (1923 film),Enemy Territory (film),The Eleventh Hour (1923 film),Action,Unique
"""In the arena of elimination only the strong survive.""",The Eliminator (film),Eye of the Eagle 2: Inside the Enemy,Excessive Force II: Force on Force,End of a Gun,The Eliminator (film),Action,Unique
